variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 4352;
iterations = 256;
candidates = 16;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 1;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D38  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D3D  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D42  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D47  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D4C  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D51  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D56  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  37  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D5B  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  38  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D60  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  39  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D65  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  40  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D6A  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  41  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D6F  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  42  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D74  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  43  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D79  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  44  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D7E  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  45  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D83  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  46  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D88  ResultHash=F472  ProgramHash=5B33
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  47  Best=0.01667500  Result=0.01667500  Best=0.01667500  Seed=27922D8D  ResultHash=F472  ProgramHash=5B33
