variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.32356846  Result=0.32356846  Seed=C0A9496B  ResultHash=0311  ProgramHash=BD43
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.29700992  Result=0.29700992  Seed=C0A9496C  ResultHash=933D  ProgramHash=5A75
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.29700992  Result=0.29700992  Seed=C0A9496D  ResultHash=933D  ProgramHash=5A75
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.28394637  Result=0.28394637  Seed=C0A9496E  ResultHash=7B6A  ProgramHash=A97D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.28394637  Result=0.28394637  Seed=C0A9496F  ResultHash=7B6A  ProgramHash=A97D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.28394637  Result=0.28394637  Seed=C0A94970  ResultHash=7B6A  ProgramHash=A97D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.28394637  Result=0.28394637  Seed=C0A94971  ResultHash=7B6A  ProgramHash=A97D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.28394637  Result=0.28394637  Seed=C0A94972  ResultHash=7B6A  ProgramHash=A97D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.28394637  Result=0.28394637  Seed=C0A94973  ResultHash=7B6A  ProgramHash=A97D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.28275055  Result=0.28275055  Seed=C0A94974  ResultHash=16F4  ProgramHash=D308
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.27928323  Result=0.27928323  Seed=C0A94975  ResultHash=EC3E  ProgramHash=E27F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.27928323  Result=0.27928323  Seed=C0A94976  ResultHash=EC3E  ProgramHash=E27F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.27928323  Result=0.27928323  Seed=C0A94977  ResultHash=EC3E  ProgramHash=E27F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.27928323  Result=0.27928323  Seed=C0A94978  ResultHash=EC3E  ProgramHash=E27F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.25893986  Result=0.25893986  Seed=C0A94979  ResultHash=CE77  ProgramHash=19ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.25893986  Result=0.25893986  Seed=C0A9497A  ResultHash=CE77  ProgramHash=19ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.25893986  Result=0.25893986  Seed=C0A9497B  ResultHash=CE77  ProgramHash=19ED
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.25365531  Result=0.25365531  Seed=C0A9497C  ResultHash=4355  ProgramHash=EEBA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.25365531  Result=0.25365531  Seed=C0A9497D  ResultHash=4355  ProgramHash=EEBA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.25365531  Result=0.25365531  Seed=C0A9497E  ResultHash=4355  ProgramHash=EEBA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.25365531  Result=0.25365531  Seed=C0A9497F  ResultHash=4355  ProgramHash=EEBA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.25365531  Result=0.25365531  Seed=C0A94980  ResultHash=4355  ProgramHash=EEBA
