CUDA devices = 1
Device 0: NVIDIA GeForce RTX 4090

variations = 3
samples = 15
instructions = 32
registers = 29
opcodes = 2
patternOpcodes = 4

targetMin = 0.000000f
targetMax = 6.283185f

mode = FIRESTARTER_REVOLVE
evolveSeed = 0
optimizeSeed = 0
seeds = 64
tests = 16
units = 2
processes = 2
population = 278528
iterations = 64
generations = 100
precision = 0
candidates = 16
attempts = 32

scale = 0.100000f
startScale = 2.000000f
startResult = 10.000000f

FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=0  Generation=0  Age=0  Evolution=0 *Result=0.63413620  Best=0.63413620  BestSeed=0  BestGen=0  Time=76.9521 Seconds  Run Time=8950.0383 Seconds  TestError=0.00000000
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=1  Generation=0  Age=0  Evolution=0 *Result=0.00050169  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0081 Seconds  Run Time=8950.0546 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=2  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0017 Seconds  Run Time=8950.0580 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=3  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=8950.0583 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=4  Generation=0  Age=0  Evolution=0  Result=1.48324537  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0586 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=5  Generation=0  Age=0  Evolution=0  Result=0.00511026  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0588 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=6  Generation=0  Age=0  Evolution=0  Result=0.12232419  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0591 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=7  Generation=0  Age=0  Evolution=0  Result=0.00081336  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0593 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=8  Generation=0  Age=0  Evolution=0  Result=0.00066511  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0596 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=9  Generation=0  Age=0  Evolution=0  Result=1.24038529  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0598 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=10  Generation=0  Age=0  Evolution=0  Result=0.00733936  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0002 Seconds  Run Time=8950.0601 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=11  Generation=0  Age=0  Evolution=0  Result=0.16021796  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0604 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=12  Generation=0  Age=0  Evolution=0  Result=0.01259232  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0607 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=13  Generation=0  Age=0  Evolution=0  Result=0.01518524  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0609 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=14  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0612 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=15  Generation=0  Age=0  Evolution=0  Result=0.85227418  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0614 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=16  Generation=0  Age=0  Evolution=0  Result=1.48324537  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0617 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=17  Generation=0  Age=0  Evolution=0  Result=0.00221172  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0620 Seconds  TestError=0.00000012
FIRESTARTER_REVOLVE: Seed=0  Test=14  Index=18  Generation=0  Age=0  Evolution=0  Result=0.00391436  Best=0.00050169  BestSeed=0  BestGen=0  Time=0.0001 Seconds  Run Time=8950.0622 Seconds  TestError=0.00000012
