instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 4;
precision = 0;
evolve = FIRESTARTER_EVOLVE_INDIVIDUAL;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   0  Best=0.20573686  Result=0.20573686  Best=0.20573686  Seed=C0A9496E  ResultHash=9661  ProgramHash=0411
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   1  Best=0.11749253  Result=0.11749253  Best=0.11749253  Seed=C0A94972  ResultHash=0533  ProgramHash=000D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   2  Best=0.10709161  Result=0.10709161  Best=0.10709161  Seed=C0A94976  ResultHash=95BF  ProgramHash=C70B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   3  Best=0.10709161  Result=0.13558102  Best=0.10709161  Seed=C0A9497A  ResultHash=5227  ProgramHash=02B9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   4  Best=0.10709161  Result=0.10788012  Best=0.10709161  Seed=C0A9497E  ResultHash=457F  ProgramHash=6D47
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   5  Best=0.10709161  Result=0.11033374  Best=0.10709161  Seed=C0A94982  ResultHash=4403  ProgramHash=E461
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   6  Best=0.08930865  Result=0.08930865  Best=0.08930865  Seed=C0A94986  ResultHash=50E3  ProgramHash=F4AD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   7  Best=0.08930865  Result=0.10312140  Best=0.08930865  Seed=C0A9498A  ResultHash=DDBC  ProgramHash=1AF5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   8  Best=0.07088113  Result=0.07088113  Best=0.07088113  Seed=C0A9498E  ResultHash=B89E  ProgramHash=438C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:   9  Best=0.07088113  Result=0.08668566  Best=0.07088113  Seed=C0A94992  ResultHash=0B8D  ProgramHash=167F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  10  Best=0.06022186  Result=0.06022186  Best=0.06022186  Seed=C0A94996  ResultHash=A9D1  ProgramHash=C7C9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  11  Best=0.06022186  Result=0.06466091  Best=0.06022186  Seed=C0A9499A  ResultHash=6D73  ProgramHash=4C06
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  12  Best=0.06022186  Result=0.07957220  Best=0.06022186  Seed=C0A9499E  ResultHash=08D6  ProgramHash=965B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  13  Best=0.06022186  Result=0.12258127  Best=0.06022186  Seed=C0A949A2  ResultHash=CB6A  ProgramHash=38BA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  14  Best=0.06022186  Result=0.09900773  Best=0.06022186  Seed=C0A949A6  ResultHash=BAC3  ProgramHash=7188
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  15  Best=0.06022186  Result=0.12498996  Best=0.06022186  Seed=C0A949AA  ResultHash=F286  ProgramHash=C526
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  16  Best=0.06022186  Result=0.09525478  Best=0.06022186  Seed=C0A949AE  ResultHash=058D  ProgramHash=80DB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  17  Best=0.06022186  Result=0.14568233  Best=0.06022186  Seed=C0A949B2  ResultHash=CD98  ProgramHash=8228
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  18  Best=0.06022186  Result=0.09598684  Best=0.06022186  Seed=C0A949B6  ResultHash=2F6E  ProgramHash=7F1A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  19  Best=0.06022186  Result=0.11251259  Best=0.06022186  Seed=C0A949BA  ResultHash=6796  ProgramHash=13DA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  20  Best=0.06022186  Result=0.14590108  Best=0.06022186  Seed=C0A949BE  ResultHash=5176  ProgramHash=F680
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  21  Best=0.06022186  Result=0.13871238  Best=0.06022186  Seed=C0A949C2  ResultHash=9A3D  ProgramHash=4C35
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  22  Best=0.06022186  Result=0.08575999  Best=0.06022186  Seed=C0A949C6  ResultHash=683F  ProgramHash=A552
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  23  Best=0.06022186  Result=0.08422040  Best=0.06022186  Seed=C0A949CA  ResultHash=6CBF  ProgramHash=8705
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  24  Best=0.06022186  Result=0.09114194  Best=0.06022186  Seed=C0A949CE  ResultHash=2F50  ProgramHash=06B8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  25  Best=0.06022186  Result=0.07280341  Best=0.06022186  Seed=C0A949D2  ResultHash=90BD  ProgramHash=FADB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  26  Best=0.06022186  Result=0.06599216  Best=0.06022186  Seed=C0A949D6  ResultHash=9FDD  ProgramHash=4893
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  27  Best=0.06022186  Result=0.06559926  Best=0.06022186  Seed=C0A949DA  ResultHash=C14F  ProgramHash=347F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  28  Best=0.04639679  Result=0.04639679  Best=0.04639679  Seed=C0A949DE  ResultHash=3FE6  ProgramHash=6274
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  29  Best=0.04639679  Result=0.05275095  Best=0.04639679  Seed=C0A949E2  ResultHash=8034  ProgramHash=9804
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  30  Best=0.04410881  Result=0.04410881  Best=0.04410881  Seed=C0A949E6  ResultHash=76F8  ProgramHash=0033
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  31  Best=0.04410881  Result=0.05536085  Best=0.04410881  Seed=C0A949EA  ResultHash=1640  ProgramHash=30BE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  32  Best=0.04410881  Result=0.06899863  Best=0.04410881  Seed=C0A949EE  ResultHash=0C41  ProgramHash=8C52
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  33  Best=0.04410881  Result=0.05787158  Best=0.04410881  Seed=C0A949F2  ResultHash=876F  ProgramHash=E89B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  34  Best=0.04410881  Result=0.05698529  Best=0.04410881  Seed=C0A949F6  ResultHash=6FAC  ProgramHash=9571
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  35  Best=0.04410881  Result=0.07250744  Best=0.04410881  Seed=C0A949FA  ResultHash=75D0  ProgramHash=E34B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  36  Best=0.04410881  Result=0.06832206  Best=0.04410881  Seed=C0A949FE  ResultHash=0E34  ProgramHash=ACCA
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  37  Best=0.04410881  Result=0.05197602  Best=0.04410881  Seed=C0A94A02  ResultHash=8C09  ProgramHash=D08D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  38  Best=0.04410881  Result=0.05802387  Best=0.04410881  Seed=C0A94A06  ResultHash=52CC  ProgramHash=9184
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  39  Best=0.04410881  Result=0.05668503  Best=0.04410881  Seed=C0A94A0A  ResultHash=4857  ProgramHash=CFE1
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  40  Best=0.04410881  Result=0.04851675  Best=0.04410881  Seed=C0A94A0E  ResultHash=FDEA  ProgramHash=21B8
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  41  Best=0.04410881  Result=0.06296360  Best=0.04410881  Seed=C0A94A12  ResultHash=F19A  ProgramHash=D199
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_INDIVIDUAL  Generation:  42  Best=0.04410881  Result=0.05699155  Best=0.04410881  Seed=C0A94A16  ResultHash=5D1D  ProgramHash=A4CE
