instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 10;
precision = 256;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.14755785  Result=0.14755785  Best=0.14755785  Seed=C0A94974  ResultHash=948C  ProgramHash=9D66
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.11922145  Result=0.11922145  Best=0.11922145  Seed=C0A9497E  ResultHash=5E51  ProgramHash=935A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.09550929  Result=0.09550929  Best=0.09550929  Seed=C0A94988  ResultHash=D2ED  ProgramHash=A299
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.06448078  Result=0.06448078  Best=0.06448078  Seed=C0A94992  ResultHash=EA38  ProgramHash=612D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.06448078  Result=0.09115076  Best=0.06448078  Seed=C0A9499C  ResultHash=4B8D  ProgramHash=C8F9
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.05932021  Result=0.05932021  Best=0.05932021  Seed=C0A949A6  ResultHash=B002  ProgramHash=ED46
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.05932021  Result=0.08057629  Best=0.05932021  Seed=C0A949B0  ResultHash=157E  ProgramHash=5D4B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.05932021  Result=0.08727700  Best=0.05932021  Seed=C0A949BA  ResultHash=1169  ProgramHash=F8E7
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.05932021  Result=0.07053882  Best=0.05932021  Seed=C0A949C4  ResultHash=27D6  ProgramHash=0DA6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.05932021  Result=0.07332590  Best=0.05932021  Seed=C0A949CE  ResultHash=E4F1  ProgramHash=4039
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.05902313  Result=0.05902313  Best=0.05902313  Seed=C0A949D8  ResultHash=2378  ProgramHash=4CEE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.05902313  Result=0.07998139  Best=0.05902313  Seed=C0A949E2  ResultHash=3056  ProgramHash=9761
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best=0.05902313  Result=0.08556792  Best=0.05902313  Seed=C0A949EC  ResultHash=45A6  ProgramHash=7F8B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best=0.05902313  Result=0.07693338  Best=0.05902313  Seed=C0A949F6  ResultHash=CDA7  ProgramHash=C71F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best=0.05902313  Result=0.07346582  Best=0.05902313  Seed=C0A94A00  ResultHash=16FB  ProgramHash=692C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best=0.05902313  Result=0.06247020  Best=0.05902313  Seed=C0A94A0A  ResultHash=42EF  ProgramHash=7196
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best=0.05902313  Result=0.09291136  Best=0.05902313  Seed=C0A94A14  ResultHash=5081  ProgramHash=E89B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best=0.05902313  Result=0.07412784  Best=0.05902313  Seed=C0A94A1E  ResultHash=15A1  ProgramHash=A799
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best=0.05466917  Result=0.05466917  Best=0.05466917  Seed=C0A94A28  ResultHash=1AEF  ProgramHash=1BEB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best=0.05062097  Result=0.05062097  Best=0.05062097  Seed=C0A94A32  ResultHash=26D7  ProgramHash=F0A5
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best=0.05062097  Result=0.05693984  Best=0.05062097  Seed=C0A94A3C  ResultHash=6D15  ProgramHash=92A0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best=0.05062097  Result=0.07727611  Best=0.05062097  Seed=C0A94A46  ResultHash=0BCC  ProgramHash=D9BD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best=0.05062097  Result=0.08343160  Best=0.05062097  Seed=C0A94A50  ResultHash=45C2  ProgramHash=38D6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best=0.05062097  Result=0.06717026  Best=0.05062097  Seed=C0A94A5A  ResultHash=7D3E  ProgramHash=8143
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best=0.05062097  Result=0.07613075  Best=0.05062097  Seed=C0A94A64  ResultHash=2704  ProgramHash=A5DC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best=0.05062097  Result=0.07737243  Best=0.05062097  Seed=C0A94A6E  ResultHash=A343  ProgramHash=557B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  26  Best=0.05062097  Result=0.08008635  Best=0.05062097  Seed=C0A94A78  ResultHash=6DBD  ProgramHash=8C77
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  27  Best=0.05062097  Result=0.07222164  Best=0.05062097  Seed=C0A94A82  ResultHash=78C1  ProgramHash=A111
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  28  Best=0.05062097  Result=0.07561612  Best=0.05062097  Seed=C0A94A8C  ResultHash=1397  ProgramHash=B6FE
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  29  Best=0.05062097  Result=0.07102966  Best=0.05062097  Seed=C0A94A96  ResultHash=E8E6  ProgramHash=BE0B
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  30  Best=0.05062097  Result=0.05565766  Best=0.05062097  Seed=C0A94AA0  ResultHash=4509  ProgramHash=1007
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  31  Best=0.05062097  Result=0.05739367  Best=0.05062097  Seed=C0A94AAA  ResultHash=B21E  ProgramHash=D419
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  32  Best=0.05062097  Result=0.07444131  Best=0.05062097  Seed=C0A94AB4  ResultHash=8534  ProgramHash=B4B2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  33  Best=0.05062097  Result=0.07662421  Best=0.05062097  Seed=C0A94ABE  ResultHash=CC83  ProgramHash=DB6F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  34  Best=0.05062097  Result=0.08172598  Best=0.05062097  Seed=C0A94AC8  ResultHash=50AC  ProgramHash=6EF3
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  35  Best=0.05062097  Result=0.07905614  Best=0.05062097  Seed=C0A94AD2  ResultHash=FA1D  ProgramHash=EE7A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  36  Best=0.05062097  Result=0.06715703  Best=0.05062097  Seed=C0A94ADC  ResultHash=A92B  ProgramHash=A203
