instructions = 32;
registers = 32;
opcodes = 2;
variations = 3;
samples = 15;

sampleMin = 0.000000f;
sampleMax = 6.283185f;
evolveFactor = 0.100000f;
evolveStartFactor = 4.000000f;
evolveStartResult = 10.000000f;
evolveCandidates = 16;

mode = FIRESTARTER_CODE;
states = 1;
units = 1;
process = 0;
population = 4352;
iterations = 256;
generations = 5;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best=0.08713059  Result=0.08713059  Best=0.08713059  Seed=C0A9496F  ResultHash=264A  ProgramHash=63AC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best=0.07458533  Result=0.07458533  Best=0.07458533  Seed=C0A94974  ResultHash=51B5  ProgramHash=FC56
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best=0.06900668  Result=0.06900668  Best=0.06900668  Seed=C0A94979  ResultHash=6393  ProgramHash=0E29
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best=0.04386276  Result=0.04386276  Best=0.04386276  Seed=C0A9497E  ResultHash=8203  ProgramHash=624F
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best=0.03887171  Result=0.03887171  Best=0.03887171  Seed=C0A94983  ResultHash=B272  ProgramHash=C26A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best=0.03762925  Result=0.03762925  Best=0.03762925  Seed=C0A94988  ResultHash=65DB  ProgramHash=161D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best=0.02836537  Result=0.02836537  Best=0.02836537  Seed=C0A9498D  ResultHash=518F  ProgramHash=C12A
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best=0.02836537  Result=0.02963775  Best=0.02836537  Seed=C0A94992  ResultHash=EED9  ProgramHash=D9A0
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best=0.02836537  Result=0.03120315  Best=0.02836537  Seed=C0A94997  ResultHash=4466  ProgramHash=F143
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best=0.02836537  Result=0.03051710  Best=0.02836537  Seed=C0A9499C  ResultHash=2B39  ProgramHash=CAD6
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best=0.02424562  Result=0.02424562  Best=0.02424562  Seed=C0A949A1  ResultHash=B355  ProgramHash=7CBC
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best=0.02424562  Result=0.02458191  Best=0.02424562  Seed=C0A949A6  ResultHash=865F  ProgramHash=ADAF
