Test: 0  Generation=42  Evolve Result=0.00228459  Optimize Result=0.00000038  Duration: 28.3  Total: 28.3  Average: 28.3 *******
Test: 1  Generation=7  Evolve Result=0.00306210  Optimize Result=0.00000032  Duration: 5.9  Total: 34.2  Average: 17.1 *******
Test: 2  Generation=20  Evolve Result=0.00320491  Optimize Result=0.00000052  Duration: 17.4  Total: 51.6  Average: 17.2 *******
Test: 3  Generation=12  Evolve Result=0.00333196  Optimize Result=0.00000059  Duration: 14.7  Total: 66.2  Average: 16.6 *******
Test: 4  Generation=4  Evolve Result=0.00650251  Optimize Result=0.00000041  Duration: 5.5  Total: 71.7  Average: 14.3 *******
Test: 5  Generation=39  Evolve Result=0.00230408  Optimize Result=0.00000006  Duration: 31.7  Total: 103.4  Average: 17.2 *******
Test: 6  Generation=23  Evolve Result=0.00262171  Optimize Result=0.00000013  Duration: 19.8  Total: 123.2  Average: 17.6 *******
Test: 7  Generation=2  Evolve Result=0.00170278  Optimize Result=0.00000075  Duration: 1.8  Total: 125.1  Average: 15.6 *******
Test: 8  Generation=8  Evolve Result=0.00292391  Optimize Result=0.00000045  Duration: 10.0  Total: 135.1  Average: 15.0 *******
Test: 9  Generation=6  Evolve Result=0.00091928  Optimize Result=0.00000081  Duration: 6.4  Total: 141.5  Average: 14.2 *******
Test: 10  Generation=5  Evolve Result=0.00400114  Optimize Result=0.00000068  Duration: 4.2  Total: 145.7  Average: 13.2 *******
Test: 11  Generation=13  Evolve Result=0.00359094  Optimize Result=0.00000066  Duration: 14.3  Total: 160.0  Average: 13.3 *******
Test: 12  Generation=14  Evolve Result=0.00492829  Optimize Result=0.00000047  Duration: 16.6  Total: 176.6  Average: 13.6 *******
Test: 13  Generation=21  Evolve Result=0.00224012  Optimize Result=0.00000023  Duration: 14.3  Total: 190.9  Average: 13.6 *******
Test: 14  Generation=11  Evolve Result=0.00323523  Optimize Result=0.00000048  Duration: 11.4  Total: 202.3  Average: 13.5 *******
Test: 15  Generation=51  Evolve Result=0.00310358  Optimize Result=0.00000007  Duration: 30.9  Total: 233.3  Average: 14.6 *******
